,0
0,48.013
1,46.45
2,48.136
3,48.552
4,48.668
5,45.395
6,47.936
7,47.231
8,48.013
9,48.576
10,48.136
11,45.774
12,47.726
13,47.974
14,48.323
15,48.013
16,47.62
17,47.862
18,47.69
19,48.715
20,47.322
21,48.715
22,47.121
23,48.621
24,48.668
25,46.848
26,48.281
27,48.638
28,48.281
29,48.715
30,47.974
31,47.899
32,46.054
33,48.504
34,46.801
35,46.569
36,48.27
37,47.045
38,47.459
39,47.842
40,47.69
41,47.862
42,48.24
43,47.203
44,47.175
45,48.013
46,46.138
47,48.094
48,46.488
49,48.668
50,47.045
51,47.936
52,48.094
53,46.848
54,47.586
55,48.24
56,47.322
57,48.366
58,45.374
59,48.2
60,46.548
61,48.457
62,47.726
63,48.621
64,48.715
65,47.291
66,48.323
67,48.504
68,48.552
69,48.053
70,48.552
71,48.504
72,48.136
73,47.654
74,47.121
75,48.724
76,47.261
77,47.521
78,48.552
79,48.24
80,47.261
81,47.726
82,47.231
83,44.236
84,48.411
85,48.366
86,47.353
87,48.715
88,48.411
89,48.457
90,47.586
91,45.0
92,46.432
93,48.136
94,46.948
95,47.121
96,47.261
97,47.517
98,48.215
99,48.601
100,47.175
101,48.281
102,48.715
103,48.715
104,48.457
105,48.013
106,48.411
107,47.793
108,47.974
109,47.353
110,48.552
111,48.18
112,48.552
113,45.379
114,47.936
115,48.289
116,48.668
117,48.576
118,47.862
119,47.429
120,48.715
121,48.668
122,48.601
123,48.601
124,48.18
125,47.49
126,46.801
127,48.715
128,47.045
129,46.922
130,44.653
131,47.862
132,47.978
133,47.553
134,46.169
135,48.715
136,48.366
137,48.411
138,48.715
139,48.281
140,48.504
141,48.504
142,48.053
143,46.897
144,46.848
145,46.801
146,47.726
147,48.715
148,48.457
149,47.203
150,47.654
151,47.974
152,48.013
153,48.27
154,47.899
155,47.49
156,48.053
157,47.899
158,48.053
159,48.552
160,48.18
161,48.136
162,47.49
163,47.69
164,47.49
165,47.726
166,48.652
167,47.62
168,47.69
169,46.528
170,48.668
171,48.576
172,46.123
173,46.153
174,48.652
175,48.053
176,48.601
177,48.552
178,48.504
179,48.552
180,47.974
181,48.281
182,47.175
183,48.27
184,47.62
185,48.576
186,48.16
187,46.38
188,47.694
189,43.409
190,48.715
191,45.764
192,46.488
193,47.148
194,45.365
195,48.457
196,48.122
197,44.615
198,46.414
199,48.281
200,46.675
201,48.094
202,48.323
203,47.344
204,48.504
205,45.0
206,48.504
207,48.532
208,48.621
209,47.936
210,48.601
211,47.261
212,48.532
213,48.621
214,48.411
215,45.666
216,48.122
217,47.291
218,48.366
219,47.925
220,48.724
221,47.49
222,47.586
223,46.848
224,46.848
225,47.69
226,47.726
227,48.601
228,47.694
229,48.715
230,46.109
231,48.504
232,44.63
233,48.457
234,48.504
235,48.601
236,47.49
237,46.998
238,46.757
239,48.366
240,46.948
241,48.281
242,47.372
243,46.054
244,43.243
245,45.716
246,46.872
247,46.029
248,48.552
249,48.18
250,48.122
251,47.936
252,41.864
253,48.504
254,48.504
255,48.136
256,47.148
257,47.553
258,48.532
259,46.042
260,46.138
261,47.291
262,47.726
263,45.707
264,47.936
265,46.507
266,46.364
267,47.978
268,47.616
269,47.654
270,45.406
271,47.936
272,48.366
273,46.054
274,46.757
275,47.726
276,45.365
277,48.715
278,45.0
279,48.478
280,48.478
281,46.872
282,48.053
283,46.975
284,48.715
285,48.366
286,47.654
287,48.504
288,48.366
289,48.715
290,48.668
291,48.366
292,48.094
293,47.974
294,47.429
295,48.013
296,48.215
297,48.136
298,46.528
299,48.366
300,48.576
301,46.507
302,46.922
303,48.576
304,48.281
305,45.37
306,47.231
307,46.273
308,48.411
309,44.301
310,48.597
311,47.663
312,46.488
313,45.39
314,46.897
315,48.323
316,45.682
317,47.827
318,48.517
319,46.685
320,47.353
321,47.121
322,47.231
323,45.0
324,48.715
325,47.386
326,47.726
327,48.457
328,48.094
329,48.457
330,43.905
331,47.921
332,46.042
333,46.488
334,47.411
335,48.489
336,45.343
337,48.053
338,48.411
339,46.414
340,46.348
341,43.62
342,48.724
343,46.948
344,47.936
345,46.848
346,48.601
347,46.202
348,47.459
349,47.802
350,48.504
351,47.095
352,47.944
353,48.668
354,44.605
355,47.586
356,44.265
357,48.059
358,48.552
359,48.621
360,48.406
361,47.603
362,48.406
363,48.013
364,46.779
365,48.318
366,46.219
367,47.69
368,48.504
369,45.379
370,46.922
371,47.974
372,47.06
373,48.16
374,46.922
375,48.013
376,47.526
