,0,1,2,3
0,2.381,0.0,1.926,19.525
1,2.876,1.449,1.912,14.194
2,1.551,1.434,1.447,19.242
3,2.397,1.451,1.503,13.558
4,1.826,2.188,2.158,12.335
5,2.995,2.171,1.813,11.959
6,2.04,1.453,1.576,12.989
7,2.907,2.293,1.8,14.601
8,2.536,1.687,1.789,10.399
9,1.308,1.201,1.55,15.632
10,1.433,1.695,2.634,18.241
11,1.799,1.803,1.545,14.464
12,1.806,1.681,1.193,17.608
13,2.648,2.052,1.918,12.205
14,1.465,1.448,2.886,11.205
15,1.195,1.81,1.71,9.924
16,2.155,1.562,1.57,20.425
17,1.443,1.331,1.448,17.449
18,1.697,1.447,1.784,13.235
19,2.157,1.329,1.319,14.174
20,2.064,1.23,1.489,12.126
21,1.987,1.209,0.0,16.368
22,1.437,1.797,1.447,12.788
23,5.29,0.0,1.681,10.722
24,1.329,2.287,1.463,17.125
25,1.789,2.747,2.054,19.803
26,1.442,1.209,1.574,24.203
27,1.319,1.201,1.92,13.611
28,4.449,0.0,2.76,22.328
29,2.159,1.445,2.627,11.483
30,1.578,1.441,1.331,13.135
31,1.206,1.687,1.93,13.333
32,4.87,0.0,3.003,16.894
33,2.401,1.809,1.092,15.726
34,1.462,1.08,0.0,13.162
35,4.095,0.0,1.685,11.952
36,1.323,1.205,1.683,13.263
37,1.558,1.19,1.31,14.019
38,1.195,1.319,1.433,10.421
39,1.688,1.191,0.0,12.181
40,1.566,1.801,2.027,13.158
41,1.335,1.799,1.805,11.806
42,1.578,1.448,1.321,10.284
43,2.867,1.323,1.46,10.731
44,3.963,0.0,1.195,12.33
45,1.555,1.816,1.09,17.26
46,1.592,1.686,1.206,11.794
47,4.201,0.0,1.684,10.736
48,1.547,1.79,1.559,13.798
49,2.292,1.821,2.884,17.312
50,4.878,1.436,0.603,18.652
51,2.533,1.934,1.327,14.346
52,1.342,1.335,1.336,14.398
53,1.569,1.209,1.687,18.343
54,1.562,1.084,1.441,11.131
55,2.031,2.181,1.934,9.2
56,1.557,1.316,1.81,11.203
57,1.675,1.208,1.209,9.727
58,1.496,1.4,1.583,11.976
59,2.041,1.573,1.323,14.706
60,1.318,1.566,1.457,12.37
61,1.33,1.19,1.209,11.258
62,1.323,1.441,1.568,9.918
63,1.577,1.082,1.694,11.122
64,1.917,1.942,2.75,10.636
65,1.557,1.304,1.087,15.595
66,1.461,1.447,0.0,14.023
67,1.223,1.683,1.329,11.241
68,1.324,1.31,1.335,13.733
69,1.451,1.21,2.136,21.139
70,2.982,1.815,1.457,12.238
71,1.447,1.576,2.429,11.78
72,1.565,1.564,1.698,12.953
73,1.195,1.544,0.0,13.619
74,1.201,1.32,1.317,14.359
75,0.957,1.812,1.685,17.024
76,1.444,1.09,1.092,11.685
77,1.344,1.084,1.193,8.205
78,1.335,1.456,1.217,9.784
79,1.321,1.658,1.321,7.401
80,1.558,1.078,1.7,10.856
81,1.569,1.447,1.446,11.972
82,1.788,1.075,1.318,8.483
83,1.571,1.203,1.218,8.111
84,3.85,0.0,1.681,8.938
85,0.0,1.445,1.246,8.974
86,2.3,1.077,1.206,10.269
87,1.669,1.438,1.206,8.93
88,3.002,1.437,1.44,10.477
89,2.38,2.164,1.429,8.092
90,1.442,1.076,1.091,11.205
91,1.096,1.315,2.512,11.204
92,1.45,1.312,1.442,9.783
93,1.2,1.567,1.199,11.33
94,1.211,1.332,1.317,11.026
95,1.444,1.819,2.042,16.939
96,1.216,2.174,1.199,11.572
97,1.212,2.279,1.309,12.17
98,1.826,1.322,0.977,11.11
99,1.445,1.798,1.09,8.712
100,445.961,4.298,0.0,10.268
101,1.223,1.549,1.217,13.114
102,5.356,0.0,1.552,10.009
103,1.571,0.96,1.576,11.923
104,1.441,1.315,1.444,8.36
105,1.448,1.545,1.324,12.823
106,1.193,1.217,0.962,15.251
107,1.084,1.327,1.091,15.106
108,1.098,1.085,1.695,7.459
109,1.569,1.204,1.205,7.05
110,1.314,1.095,1.323,10.359
111,1.421,1.678,1.222,9.588
112,1.933,1.786,1.219,13.528
113,3.238,1.204,1.668,11.236
114,1.073,1.442,1.208,13.36
115,1.917,1.565,2.305,8.418
116,1.325,2.163,1.911,10.397
117,1.067,1.452,2.025,9.478
118,1.328,1.221,1.441,13.394
119,1.568,1.549,2.27,6.714
120,1.436,1.816,1.808,8.353
121,2.067,1.693,1.323,10.893
122,1.081,1.216,1.319,9.881
123,2.183,1.451,0.0,15.551
124,1.315,1.428,1.932,11.418
