,0
0,0.237
1,1.441
2,0.235
3,0.592
4,11.895
5,1.694
6,4.669
7,2.773
8,1.909
9,0.243
10,1.787
11,0.909
12,1.082
13,1.198
14,0.475
15,0.116
16,1.681
17,0.235
18,1.93
19,0.614
20,1.68
21,2.622
22,0.12
23,0.121
24,1.934
25,1.08
26,1.782
27,1.292
28,6.698
29,0.126
30,0.36
31,0.122
32,0.117
33,0.124
34,3.973
35,2.507
36,0.116
37,1.183
38,0.12
39,0.124
40,0.348
41,0.121
42,1.159
43,0.239
44,1.914
45,0.957
46,1.194
47,0.118
48,0.963
49,1.08
50,2.149
51,6.435
52,2.632
53,0.353
54,1.536
55,0.85
56,8.847
57,4.573
58,0.838
59,22.682
60,1.68
61,13.887
62,0.361
63,0.85
64,0.121
65,1.789
66,1.316
67,0.6
68,0.122
69,0.964
70,2.177
71,2.995
72,0.115
73,5.862
74,1.586
75,0.604
76,2.032
77,0.857
78,1.209
79,8.1
80,2.694
81,1.092
82,0.237
83,0.838
84,0.116
85,11.364
86,0.961
87,0.959
88,0.244
89,3.564
90,3.013
91,0.956
92,0.239
93,1.069
94,0.12
95,1.559
96,0.239
97,10.498
98,0.128
