,0
0,1.191
1,0.358
2,0.821
3,0.818
4,2.125
5,0.467
6,2.742
7,2.84
8,0.469
9,1.773
10,0.812
11,0.118
12,1.421
13,0.114
14,1.797
15,0.471
16,1.301
17,1.195
18,0.352
19,3.204
20,5.677
21,2.239
22,9.208
23,0.118
24,0.118
25,4.609
26,1.776
27,1.411
28,1.181
29,1.305
30,6.911
31,0.586
32,2.353
33,1.786
34,10.173
35,1.319
36,1.201
37,3.414
38,2.256
39,1.898
40,6.15
41,1.065
42,0.603
43,0.597
44,7.557
45,0.366
46,0.48
47,5.204
48,2.234
49,0.947
50,0.952
51,0.121
52,3.911
53,2.602
54,0.362
55,0.584
56,0.115
57,1.064
58,7.927
59,1.06
60,8.153
61,1.082
62,4.016
63,1.31
64,0.95
65,5.456
66,0.707
67,0.938
68,0.12
69,0.239
70,1.186
71,0.475
72,0.12
