,0
0,2.904
1,2.082
2,0.363
3,0.367
4,7.48
5,2.03
6,1.67
7,0.972
8,0.116
9,1.613
10,0.282
11,0.791
12,0.118
13,1.35
14,1.155
15,0.124
16,1.527
17,0.876
18,0.241
19,0.38
20,0.673
21,0.17
22,0.251
23,0.248
24,0.362
25,0.144
26,1.344
27,0.261
28,2.359
29,2.857
30,1.578
31,1.206
32,0.716
33,0.475
34,2.484
35,2.528
36,0.141
37,0.552
38,0.849
39,1.651
40,2.377
41,0.957
42,1.69
43,1.583
44,1.697
45,5.421
46,0.26
47,0.986
48,2.349
49,0.121
50,1.195
51,1.527
52,0.592
53,1.076
54,1.173
55,0.365
56,1.313
57,0.118
58,0.355
59,0.122
60,1.928
61,0.233
62,0.12
63,0.36
64,0.116
65,0.831
66,0.471
67,0.233
68,1.08
69,1.195
70,1.066
71,0.35
72,0.829
73,0.84
74,0.241
75,0.719
76,1.691
77,0.121
78,1.316
79,4.588
80,0.115
81,0.113
82,0.245
83,0.118
84,0.235
85,0.857
86,0.358
87,2.642
88,0.723
89,7.848
90,0.357
91,0.485
92,2.143
93,0.122
94,4.382
95,1.653
96,0.36
97,1.443
98,2.288
99,7.205
100,1.224
101,0.367
102,1.818
103,0.121
104,11.323
105,0.121
106,0.249
107,0.956
108,1.769
109,0.118
110,0.468
111,0.127
112,0.116
113,1.318
114,4.361
115,2.939
116,2.261
117,1.663
118,0.852
119,0.235
120,1.445
121,7.206
122,0.119
123,0.369
124,2.146
125,0.498
126,2.818
127,4.053
128,0.473
129,4.02
130,1.084
131,1.091
132,9.976
133,2.281
134,0.241
135,2.498
136,9.493
137,1.179
138,0.244
139,0.239
140,0.235
141,1.318
142,0.236
143,3.333
