,0
0,47.759
1,42.571
2,47.944
3,47.603
4,46.414
5,47.573
6,47.167
7,46.801
8,46.655
9,48.013
10,48.366
11,46.397
12,47.045
13,46.364
14,41.583
15,48.013
16,47.372
17,48.681
18,46.109
19,48.323
20,44.64
21,46.067
22,46.909
23,48.252
24,47.463
25,46.79
26,48.44
27,46.779
28,47.564
29,46.123
30,47.045
31,45.0
32,45.317
33,48.111
34,48.262
35,48.478
36,47.785
37,45.9
38,48.447
39,48.576
40,48.403
41,48.252
42,48.504
43,46.138
44,47.899
45,48.668
46,47.862
47,43.243
48,47.755
49,47.847
50,46.801
51,46.095
52,48.638
53,47.49
54,47.878
55,45.406
56,45.623
57,46.153
58,47.021
59,47.353
60,46.138
61,46.287
62,43.995
63,47.459
64,44.64
65,48.252
66,48.44
67,48.403
68,48.652
69,47.056
70,48.614
71,45.0
72,48.621
73,48.681
74,47.726
75,47.545
76,47.981
77,47.215
78,48.614
79,46.848
80,46.998
81,48.629
82,48.094
83,47.968
84,46.685
85,46.348
86,48.323
87,47.785
88,48.077
89,41.704
90,47.255
91,48.18
92,48.504
93,47.099
94,48.366
95,48.652
96,47.981
97,46.38
98,45.725
99,47.191
100,48.614
101,48.652
102,48.403
103,43.452
104,45.0
105,48.478
106,48.638
107,47.793
108,48.532
109,43.325
110,47.215
111,48.652
112,48.691
113,48.691
114,48.652
115,46.5
116,46.828
117,47.694
118,45.317
119,48.289
120,47.466
121,48.2
122,46.718
123,48.652
124,47.981
125,45.352
126,48.691
127,47.49
128,48.296
129,45.0
130,48.18
131,46.931
132,48.468
133,44.68
