,0
0,46.017
1,44.31
2,48.576
3,48.489
4,48.517
5,48.556
6,46.848
7,44.61
8,48.085
9,48.122
10,43.983
11,46.245
12,47.978
13,48.517
14,47.49
15,48.215
16,47.49
17,48.517
18,48.18
19,47.573
20,48.681
21,46.779
22,46.029
23,46.005
24,46.909
25,48.517
26,46.029
27,48.411
28,48.013
29,48.532
30,48.077
31,48.44
32,47.759
33,47.386
34,48.556
35,48.621
36,48.366
37,46.38
38,48.077
39,48.18
40,48.296
41,48.4
42,48.576
43,48.366
44,48.44
45,46.287
46,45.682
47,47.785
48,46.582
49,45.993
50,46.245
51,48.013
52,47.553
53,47.632
54,46.425
55,48.327
56,48.252
57,47.816
58,46.779
59,47.978
60,48.252
61,47.911
62,48.517
63,48.403
64,46.488
65,44.661
66,48.457
67,46.888
68,48.478
69,48.252
70,48.517
71,46.888
72,47.144
73,48.652
74,48.478
75,47.215
76,45.682
77,48.262
78,46.432
79,48.691
80,48.478
81,48.478
82,48.403
83,47.545
84,48.489
85,48.366
86,45.31
87,47.231
88,45.96
89,48.045
90,45.63
91,47.06
92,48.16
93,48.681
94,47.785
95,47.827
96,46.922
97,47.344
98,48.576
99,48.724
100,48.457
101,48.478
102,48.44
103,48.44
104,48.252
105,48.681
106,48.403
107,48.457
108,47.553
109,47.816
110,48.145
111,48.517
112,47.586
113,48.327
114,47.121
115,48.447
116,48.406
117,48.576
118,48.597
