,0
0,4.785
1,6.573
2,19.741
3,23.193
4,29.836
5,35.397
6,43.028
7,46.249
8,52.896
9,68.618
10,73.26
11,74.193
12,76.224
13,89.727
14,101.081
15,110.112
16,120.595
17,125.334
18,149.299
19,162.735
20,180.934
21,192.724
22,203.567
23,215.949
24,223.455
25,223.926
26,246.178
27,251.528
28,254.005
29,256.989
30,263.583
31,274.194
32,275.841
33,283.683
34,287.01
35,297.655
36,299.213
37,311.979
38,318.905
39,324.392
40,327.705
41,335.294
42,337.447
43,338.399
44,345.482
45,354.346
46,358.217
47,362.043
48,369.494
49,373.639
50,376.407
51,377.595
52,378.912
53,386.0
54,390.99
55,393.4
56,394.217
57,396.486
58,398.881
59,409.656
60,418.128
61,427.242
62,436.935
63,444.61
64,449.991
65,453.667
66,461.138
67,474.13
68,475.664
69,476.608
70,477.087
71,478.636
72,479.228
73,483.98
