,0
0,2.027
1,0.244
2,0.119
3,0.249
4,1.517
5,7.932
6,1.564
7,0.121
8,0.831
9,0.116
10,0.243
11,0.246
12,0.361
13,0.988
14,0.487
15,0.607
16,0.957
17,0.126
18,0.239
19,1.203
20,2.035
21,1.2
22,0.371
23,0.355
24,1.202
25,5.139
26,2.484
27,0.245
28,1.194
29,0.119
30,0.713
31,9.468
32,1.194
33,1.811
34,0.599
35,0.724
36,0.717
37,0.128
38,0.237
39,0.239
40,0.73
41,0.48
42,0.122
43,0.123
44,0.124
45,8.509
46,1.081
47,0.473
48,2.978
49,1.166
50,0.234
51,0.239
52,0.38
53,0.347
54,0.363
55,1.661
56,1.529
57,3.896
58,0.842
59,2.282
60,1.452
61,1.3
62,0.123
63,0.82
64,0.951
65,0.715
66,0.241
67,1.927
68,1.668
69,6.307
70,0.468
71,0.124
72,2.016
73,1.651
74,1.065
75,0.706
76,0.721
77,1.91
78,0.955
79,0.713
80,5.58
81,4.722
82,1.075
83,0.95
84,0.121
85,2.601
86,3.883
87,2.709
88,1.188
89,1.913
90,6.503
91,2.951
92,0.966
93,10.526
94,0.956
95,0.248
96,0.596
97,0.363
98,0.937
99,1.614
100,3.472
101,2.036
102,2.615
103,0.7
104,4.715
105,0.474
106,0.24
107,0.595
108,0.119
109,2.633
110,2.728
111,3.281
112,1.762
113,1.421
114,0.592
115,4.375
116,0.357
117,0.475
118,1.788
