,0
0,7.427
1,11.456
2,13.978
3,14.468
4,24.279
5,39.316
6,39.562
7,45.961
8,47.037
9,47.629
10,60.532
11,67.343
12,69.847
13,73.549
14,76.182
15,78.789
16,86.14
17,95.668
18,99.224
19,110.421
20,111.355
21,113.012
22,119.208
23,120.635
24,120.979
25,121.215
26,125.782
27,129.814
28,133.504
29,133.743
30,136.012
31,146.659
32,148.315
33,153.833
34,157.085
35,157.325
36,167.617
37,168.439
38,168.679
39,172.617
40,176.058
41,179.11
42,186.367
43,195.194
44,211.516
45,228.75
46,230.072
47,230.55
48,230.908
49,234.001
50,236.27
51,236.746
52,239.472
53,249.381
54,251.636
55,254.505
56,256.768
57,267.405
58,267.884
59,272.286
60,274.821
61,279.415
62,298.432
63,303.892
64,310.266
65,312.292
66,312.878
67,318.9
68,319.73
69,320.686
70,324.003
71,333.875
72,345.648
73,350.804
74,353.751
75,357.402
76,357.747
77,365.01
78,365.26
79,366.805
80,367.051
81,367.654
82,370.503
83,375.921
84,378.889
85,380.45
86,383.359
87,384.207
88,385.863
89,386.109
90,386.356
91,389.068
92,397.079
93,399.962
94,402.355
95,405.277
96,409.617
97,412.102
98,412.812
99,414.621
100,417.369
101,417.611
102,419.767
103,422.265
104,432.911
105,433.147
106,434.098
107,436.61
108,438.89
109,442.342
110,445.885
111,450.462
112,458.381
113,461.25
114,465.801
115,469.158
116,472.135
117,477.603
118,485.215
119,490.364
120,490.724
121,500.096
