,0
0,45.335
1,48.403
2,47.878
3,48.048
4,47.862
5,47.121
6,48.215
7,47.899
8,47.429
9,42.479
10,48.24
11,46.081
12,48.638
13,46.736
14,46.095
15,44.588
16,47.759
17,48.327
18,48.281
19,48.289
20,45.317
21,45.699
22,43.128
23,43.345
24,45.725
25,47.045
26,47.603
27,45.651
28,48.614
29,48.053
30,46.488
31,47.231
32,47.974
33,48.638
34,48.327
35,47.726
36,48.406
37,46.317
38,42.51
39,47.878
40,47.291
41,47.215
42,48.122
43,48.366
44,47.603
45,47.944
46,48.252
47,44.69
48,48.681
49,48.013
50,45.374
51,48.045
52,48.44
53,48.691
54,48.403
55,47.517
56,45.764
57,46.528
58,48.053
59,47.793
60,48.597
61,45.699
62,48.638
63,48.517
64,48.44
65,48.614
66,43.683
67,47.545
68,48.44
69,47.344
70,47.978
71,48.517
72,48.478
73,48.013
74,47.553
75,45.725
76,44.275
77,47.911
78,48.366
79,48.111
80,47.726
81,48.504
82,48.576
83,48.614
84,48.478
85,47.386
86,47.49
87,46.695
88,46.779
89,48.44
90,48.215
91,46.507
92,46.848
93,47.265
94,48.44
95,48.44
96,46.953
97,45.401
98,48.145
99,47.847
100,46.872
101,47.694
102,48.145
103,48.638
104,46.6
105,48.262
106,47.07
107,48.289
108,48.517
109,48.478
110,48.44
111,48.447
112,47.07
113,47.847
114,48.44
115,48.691
116,48.403
117,47.148
118,48.094
119,47.521
120,48.085
121,47.239
122,48.013
123,47.372
124,48.556
125,48.44
126,48.44
127,46.655
128,41.424
129,47.49
130,48.532
131,46.848
132,47.978
133,47.553
134,46.042
135,46.618
136,48.013
137,48.411
138,48.457
139,45.818
140,45.744
141,48.457
142,47.459
143,47.411
