,0
0,7.126
1,10.343
2,13.92
3,14.275
4,16.687
5,18.904
6,29.003
7,31.056
8,31.29
9,34.275
10,34.506
11,46.889
12,50.326
13,53.292
14,65.485
15,78.537
16,86.385
17,97.476
18,97.723
19,105.256
20,113.025
21,115.542
22,117.701
23,121.795
24,123.346
25,129.912
26,136.588
27,139.319
28,139.928
29,144.578
30,145.41
31,146.845
32,156.791
33,158.582
34,163.733
35,166.014
36,166.862
37,167.703
38,178.677
39,179.884
40,182.759
41,186.142
42,186.744
43,186.983
44,187.338
45,187.705
46,200.05
47,202.084
48,209.257
49,214.494
50,216.855
51,218.918
52,225.142
53,237.647
54,239.177
55,242.845
56,245.918
57,250.175
58,255.028
59,256.227
60,259.242
61,261.901
62,270.071
63,270.553
64,272.918
65,274.581
66,277.791
67,278.151
68,281.491
69,283.866
70,293.659
71,295.188
72,299.9
73,303.487
74,305.61
75,306.789
76,312.14
77,313.342
78,317.518
79,320.873
80,322.647
81,329.057
82,336.285
83,339.983
84,342.844
85,343.085
86,345.92
87,351.109
88,354.299
89,357.522
90,360.742
91,368.308
92,374.71
93,376.997
94,389.656
95,392.046
96,392.776
97,393.495
98,398.017
99,399.072
100,404.704
101,412.233
102,415.827
103,418.557
104,419.378
105,424.91
106,425.627
107,426.95
108,429.437
109,429.79
110,433.377
111,437.637
112,441.515
113,443.394
114,447.904
115,451.111
116,455.606
117,465.593
118,467.876
119,478.656
