,0
0,0.237
1,1.434
2,0.475
3,0.605
4,0.96
5,0.834
6,1.423
7,0.126
8,1.331
9,0.357
10,0.939
11,1.654
12,1.088
13,1.074
14,0.25
15,1.197
16,0.12
17,0.702
18,2.19
19,0.357
20,0.124
21,0.122
22,0.126
23,2.122
24,0.354
25,0.483
26,0.48
27,0.36
28,3.141
29,2.774
30,0.746
31,0.345
32,0.152
33,0.125
34,3.584
35,3.022
36,0.604
37,1.493
38,0.364
39,0.252
40,0.117
41,4.327
42,0.967
43,1.488
44,0.121
45,0.243
46,0.476
47,0.243
48,0.116
49,1.092
50,0.117
51,0.365
52,0.476
53,1.533
54,0.127
55,1.943
56,0.239
57,0.824
58,0.251
59,1.692
60,0.595
61,0.359
62,0.238
63,0.248
64,0.115
65,0.367
66,1.294
67,0.231
68,0.596
69,0.118
70,4.995
71,1.224
72,1.072
73,1.775
74,1.202
75,2.033
76,0.125
77,0.501
78,0.121
79,1.312
80,2.259
81,1.539
82,0.352
83,0.596
84,0.117
85,0.116
86,0.12
87,1.433
88,5.056
89,0.723
90,1.098
91,0.482
92,0.122
93,0.12
94,9.003
95,0.951
96,0.832
97,0.359
98,0.121
99,0.354
100,1.172
101,1.058
102,0.82
103,1.21
104,0.122
105,0.732
106,4.036
107,5.456
108,0.961
109,0.366
110,0.349
111,2.467
112,0.469
113,1.658
114,0.244
115,0.119
116,0.355
117,0.72
118,0.244
119,1.312
120,0.961
121,0.594
122,0.364
123,3.657
124,1.29
125,0.123
126,0.242
127,1.665
128,5.561
129,0.964
130,0.84
131,0.712
132,0.473
133,1.073
