,0
0,48.724
1,43.199
2,47.4
3,43.264
4,47.463
5,45.591
6,46.771
7,47.517
8,44.356
9,46.185
10,44.31
11,48.111
12,48.18
13,47.021
14,48.323
15,46.332
16,46.828
17,47.175
18,48.215
19,48.652
20,47.517
21,47.144
22,47.175
23,48.077
24,48.215
25,48.597
26,48.597
27,47.437
28,47.785
29,47.09
30,46.414
31,46.548
32,48.252
33,45.31
34,47.726
35,47.186
36,48.257
37,48.18
38,46.138
39,46.109
40,48.715
41,47.878
42,48.556
43,48.691
44,46.975
45,48.468
46,47.726
47,48.417
48,47.925
49,47.353
50,47.936
51,41.309
52,46.206
53,48.44
54,48.18
55,47.726
56,47.632
57,47.291
58,46.582
59,48.366
60,48.597
61,48.289
62,48.517
63,46.259
64,47.545
65,47.603
66,41.248
67,47.463
68,48.691
69,48.652
70,48.013
71,48.045
72,47.291
73,48.724
74,48.16
75,48.252
76,47.67
77,45.659
78,44.119
79,46.848
80,48.576
81,48.638
82,48.048
83,48.681
84,44.246
85,48.366
86,47.785
87,48.457
88,47.545
89,46.762
90,48.205
91,47.663
92,48.614
93,48.289
94,47.944
95,47.878
96,48.215
97,48.691
98,48.614
99,47.755
100,46.548
101,48.323
102,46.931
103,48.597
104,48.597
105,48.691
106,47.437
107,46.779
108,48.122
109,47.261
110,47.698
111,48.478
112,48.045
113,48.331
114,48.517
115,48.597
116,45.971
117,48.18
118,46.348
119,48.434
120,45.37
121,48.556
